heure_aggr,TP_s,date,heure,jour
2018-07-07 00:00:00,490.22806319166665,2018-07-07 00:00:00,00:00,2018/07/07
2018-07-07 00:06:00,483.9688331936666,2018-07-07 00:06:00,00:06,2018/07/07
2018-07-07 00:12:00,473.2588703956667,2018-07-07 00:12:00,00:12,2018/07/07
2018-07-07 00:18:00,449.25451079733335,2018-07-07 00:18:00,00:18,2018/07/07
2018-07-07 00:24:00,482.7610217971667,2018-07-07 00:24:00,00:24,2018/07/07
2018-07-07 00:30:00,466.7470469981667,2018-07-07 00:30:00,00:30,2018/07/07
2018-07-07 00:36:00,486.5977325966667,2018-07-07 00:36:00,00:36,2018/07/07
2018-07-07 00:42:00,566.2797557993334,2018-07-07 00:42:00,00:42,2018/07/07
2018-07-07 00:48:00,508.7459766,2018-07-07 00:48:00,00:48,2018/07/07
2018-07-07 00:54:00,419.0437649978333,2018-07-07 00:54:00,00:54,2018/07/07
2018-07-07 01:00:00,511.15414319433336,2018-07-07 01:00:00,01:00,2018/07/07
2018-07-07 01:06:00,504.3251585965,2018-07-07 01:06:00,01:06,2018/07/07
2018-07-07 01:12:00,475.3525733948333,2018-07-07 01:12:00,01:12,2018/07/07
2018-07-07 01:18:00,510.4528589966667,2018-07-07 01:18:00,01:18,2018/07/07
2018-07-07 01:24:00,494.51398919316665,2018-07-07 01:24:00,01:24,2018/07/07
2018-07-07 01:30:00,489.84394379250006,2018-07-07 01:30:00,01:30,2018/07/07
2018-07-07 01:36:00,502.79491079233327,2018-07-07 01:36:00,01:36,2018/07/07
2018-07-07 01:42:00,490.8203345963334,2018-07-07 01:42:00,01:42,2018/07/07
2018-07-07 01:48:00,482.7762173945,2018-07-07 01:48:00,01:48,2018/07/07
2018-07-07 01:54:00,556.4783789936666,2018-07-07 01:54:00,01:54,2018/07/07
2018-07-07 02:00:00,600.4391687975,2018-07-07 02:00:00,02:00,2018/07/07
2018-07-07 02:06:00,534.0419861951667,2018-07-07 02:06:00,02:06,2018/07/07
2018-07-07 02:12:00,534.6984629981666,2018-07-07 02:12:00,02:12,2018/07/07
2018-07-07 02:18:00,549.5876093955001,2018-07-07 02:18:00,02:18,2018/07/07
2018-07-07 02:24:00,572.7898217963333,2018-07-07 02:24:00,02:24,2018/07/07
2018-07-07 02:30:00,537.7428941973333,2018-07-07 02:30:00,02:30,2018/07/07
2018-07-07 02:36:00,510.2801153965,2018-07-07 02:36:00,02:36,2018/07/07
2018-07-07 02:42:00,491.4098945933333,2018-07-07 02:42:00,02:42,2018/07/07
2018-07-07 02:48:00,486.1176137943334,2018-07-07 02:48:00,02:48,2018/07/07
2018-07-07 02:54:00,489.26425439766666,2018-07-07 02:54:00,02:54,2018/07/07
2018-07-07 03:00:00,525.6081377930001,2018-07-07 03:00:00,03:00,2018/07/07
2018-07-07 03:06:00,510.81433019649995,2018-07-07 03:06:00,03:06,2018/07/07
2018-07-07 03:12:00,458.70197999933333,2018-07-07 03:12:00,03:12,2018/07/07
2018-07-07 03:18:00,571.4944463961666,2018-07-07 03:18:00,03:18,2018/07/07
2018-07-07 03:24:00,505.61537159516666,2018-07-07 03:24:00,03:24,2018/07/07
2018-07-07 03:30:00,483.01424399483335,2018-07-07 03:30:00,03:30,2018/07/07
2018-07-07 03:36:00,455.5142519976667,2018-07-07 03:36:00,03:36,2018/07/07
2018-07-07 03:42:00,460.08287759833337,2018-07-07 03:42:00,03:42,2018/07/07
2018-07-07 03:48:00,473.5118813976667,2018-07-07 03:48:00,03:48,2018/07/07
2018-07-07 03:54:00,494.8046213961666,2018-07-07 03:54:00,03:54,2018/07/07
2018-07-07 04:00:00,521.464063795,2018-07-07 04:00:00,04:00,2018/07/07
2018-07-07 04:06:00,530.5403081991667,2018-07-07 04:06:00,04:06,2018/07/07
2018-07-07 04:12:00,499.7849375999999,2018-07-07 04:12:00,04:12,2018/07/07
2018-07-07 04:18:00,498.61759679999994,2018-07-07 04:18:00,04:18,2018/07/07
2018-07-07 04:24:00,497.706396,2018-07-07 04:24:00,04:24,2018/07/07
